square,ssquare,townumber,lat1,lon1,lat2,lon2,vid
663,1,11,665476,134205,665728,134631,77
663,2,21,665470,133038,665465,132273,78
664,3,2,663200,144048,663283,144797,77
664,1,11,665224,150044,665073,145372,77
665,2,2,665785,150405,665624,151065,77
665,3,3,664403,154070,664385,154834,77
666,3,11,664439,164975,664140,164879,77
666,1,14,664945,163600,664659,163868,77
667,2,12,665393,171825,665094,171796,77
667,2,14,664670,170704,664461,170141,77
668,4,3,663821,180084,663907,180820,77
668,3,11,663336,183380,663043,183584,77
669,3,3,663907,194768,664178,194422,77
669,4,4,663900,191424,664200,191323,77
670,1,4,665901,204151,665900,204933,77
670,4,12,663527,202622,663650,201935,77
671,2,2,665306,211030,665357,210264,77
671,4,11,663865,212733,663605,213132,77
672,2,3,665410,223350,665620,222810,77
672,1,12,665030,224100,665250,223640,77
672,3,35,663491,225857,663286,225287,77
673,2,3,665400,232600,665680,232950,77
673,4,13,664414,232135,664480,231393,77
674,1,1,664719,245715,665012,245555,78
674,3,12,662974,244589,663020,243843,77
674,1,15,665130,243735,665360,242770,77
674,4,16,664055,242056,663993,241310,77
674,3,71,663590,245650,663810,245130,78
675,1,1,665797,253853,665755,253094,78
675,4,71,663330,251380,663490,250700,78
676,4,1,662884,262428,663159,262728,78
676,1,2,665800,264104,670100,264123,78
713,3,1,670315,135869,670092,135355,78
714,1,1,672689,143864,672815,143154,78
714,3,11,670471,145668,670217,145258,77
714,4,21,671235,142635,671044,142038,78
715,1,1,671602,153400,671562,152631,78
715,2,2,671909,151405,671781,150702,78
715,3,11,670397,154518,670092,154503,77
715,1,21,672376,155590,672532,154923,78
716,2,1,671461,161460,671583,160751,78
716,3,11,670623,164382,670604,165162,77
716,3,21,670945,163723,671033,162984,78
716,1,22,671823,164844,671921,164109,78
717,2,1,671630,171787,671760,172488,78
717,4,1,670403,172263,670120,172522,77
717,4,2,671325,171181,671345,170408,78
717,2,3,672536,172410,672835,172364,78
717,3,21,670975,175103,670974,174330,78
718,3,2,670227,184645,665933,184857,77
718,4,2,671289,181800,671302,181026,78
718,2,21,672990,181815,672691,181761,78
718,2,22,672026,180504,671755,180171,78
719,1,1,672753,194509,672658,193767,78
719,3,2,670867,194892,670660,195453,77
